StudentID,Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,CGPA_Tier,PlacementStatus,IsAnomaly,Salary Package,Cluster
74,Male,Chennai,Tier2,IT,Embedded,Yes,No,6.11,6.3,6.55,6.3,6.62,6.45,6.15,5.78,6.23,63.4,1,1,,0,1,46.2,1.9,22.9,,0,Low,0,0,0.0,1
75,Female,Pune,Tier2,CS,Networking,Yes,Yes,5.97,5.98,6.24,6.13,5.87,6.05,6.0,6.18,6.08,70.0,1,1,1.0,2,0,62.9,,59.8,46.1,0,Low,0,0,0.0,3
76,Male,Mumbai,Tier3,EE,Networking,Yes,No,5.79,5.74,5.6,5.38,5.79,5.54,5.45,5.65,5.55,79.9,1,1,,1,0,54.9,3.8,46.3,55.6,0,Low,0,0,0.0,1
77,Female,Jaipur,Tier2,Civil,Networking,Yes,No,8.48,8.05,8.54,8.69,8.04,8.9,8.05,8.76,8.62,60.3,2,2,1.0,1,0,56.7,3.7,55.6,40.8,0,High,1,0,18.89,3
78,Male,Hyderabad,Tier1,IT,AI,No,No,8.97,8.88,8.8,8.96,8.96,9.19,9.03,8.99,9.02,99.7,1,2,,2,1,93.1,4.4,94.1,61.3,1,High,1,0,25.74,0
79,Male,Hyderabad,Tier1,ECE,Embedded,No,No,5.97,5.69,6.0,5.47,6.03,6.14,6.15,5.82,5.96,75.4,1,2,2.0,2,1,67.6,3.5,55.3,43.6,1,Low,0,0,0.0,3
80,Male,Delhi,Tier2,CS,Networking,Yes,No,9.44,9.54,9.78,9.6,9.59,9.59,9.49,10.0,9.71,98.4,1,3,3.0,2,0,57.6,4.3,79.7,86.6,0,High,1,0,18.52,0
81,Female,Bangalore,Tier2,IT,DataScience,Yes,Yes,7.01,6.76,7.14,6.89,7.02,7.59,7.28,6.89,7.14,50.4,0,1,1.0,1,0,37.1,1.2,26.1,29.4,0,Mid,0,0,0.0,1
82,Female,Delhi,Tier1,EE,Embedded,No,No,9.43,8.82,8.95,8.79,8.69,8.51,9.05,9.1,9.0,84.4,1,2,,1,0,74.4,3.0,49.5,45.6,1,High,1,0,18.27,0
83,Female,Chennai,Tier1,ECE,Networking,Yes,No,8.4,8.22,8.27,8.59,8.65,8.37,7.99,8.43,8.24,92.7,1,5,3.0,3,1,77.7,3.4,90.5,74.2,1,High,1,0,22.31,0
84,Female,Mumbai,Tier2,ECE,Embedded,Yes,No,9.91,9.62,10.0,10.0,10.0,10.0,10.0,9.69,9.72,96.6,2,3,1.0,3,2,82.5,3.2,68.6,81.8,1,High,1,0,25.24,0
85,Male,Kolkata,Tier2,EE,AI,No,No,8.21,8.55,8.22,9.35,9.03,8.81,8.97,8.5,8.75,83.5,2,2,3.0,4,1,69.7,4.5,79.8,73.4,1,High,1,0,22.33,0
86,Male,Jaipur,Tier1,Civil,Networking,Yes,No,7.48,7.89,8.15,8.57,7.92,8.03,8.1,8.54,7.94,74.3,2,3,4.0,2,2,85.4,4.1,62.8,71.3,1,Mid,1,0,10.42,2
87,Female,Pune,Tier2,Mechanical,Embedded,Yes,No,7.47,7.74,7.62,7.2,7.48,7.62,7.76,7.48,7.59,86.5,1,1,2.0,2,1,63.5,3.1,49.1,,1,Mid,1,0,8.48,3
88,Female,Ahmedabad,Tier2,Mechanical,AI,Yes,Yes,8.15,8.32,8.33,8.5,8.69,8.59,8.42,8.16,8.36,84.0,1,2,1.0,3,1,63.7,4.4,58.5,44.9,1,High,1,0,18.65,0
89,Male,Delhi,Tier3,EE,Embedded,No,No,5.09,5.3,5.28,5.38,5.82,5.16,5.24,5.31,5.36,63.0,0,0,0.0,1,0,41.7,2.2,23.6,33.1,1,Low,0,0,0.0,1
90,Male,Delhi,Tier1,CS,Networking,Yes,No,9.61,9.68,9.26,9.52,9.39,9.66,9.41,9.75,9.54,76.7,0,2,1.0,1,1,81.5,3.0,54.7,59.7,1,High,1,0,18.8,0
91,Male,Pune,Tier1,IT,Embedded,Yes,No,7.05,7.82,7.56,8.08,8.0,7.49,7.96,7.46,7.67,86.5,0,3,1.0,4,2,85.9,3.4,75.8,64.6,1,Mid,1,0,8.91,2
92,Male,Ahmedabad,Tier2,Civil,Embedded,No,No,5.91,5.68,5.71,5.73,5.68,5.99,5.73,6.11,5.75,82.0,1,1,3.0,2,0,62.8,3.0,46.2,52.8,1,Low,0,0,0.0,3
93,Female,Hyderabad,Tier1,ECE,AI,No,No,5.32,4.93,5.13,4.61,5.2,5.2,5.35,4.89,5.19,76.8,1,2,2.0,1,1,60.9,2.6,61.4,58.9,0,Low,1,0,3.88,1
94,Male,Bangalore,Tier2,Mechanical,Embedded,No,No,7.37,7.26,7.6,7.07,7.2,7.45,7.26,7.73,7.53,74.5,1,1,2.0,2,1,72.1,2.9,57.8,58.7,0,Mid,1,0,8.32,3
95,Female,Jaipur,Tier3,ECE,DataScience,No,No,7.56,8.42,7.97,7.74,8.47,7.61,8.64,8.36,8.06,66.2,0,2,,2,1,70.0,,,43.6,1,High,1,0,18.36,3
96,Male,Hyderabad,Tier1,IT,Networking,Yes,Yes,5.7,6.19,6.08,6.33,6.03,6.14,5.84,6.13,6.08,68.3,1,2,2.0,1,0,71.6,3.0,55.4,59.0,0,Low,0,0,0.0,3
97,Male,Hyderabad,Tier2,CS,Networking,Yes,No,6.99,7.29,6.62,7.66,6.65,7.19,7.52,6.94,7.13,82.4,1,1,,2,1,70.5,1.8,59.0,44.8,1,Mid,1,0,8.49,3
98,Female,Ahmedabad,Tier1,Mechanical,Networking,Yes,No,8.21,8.7,8.14,8.29,8.41,8.81,8.15,8.95,8.54,63.6,1,2,1.0,1,1,65.8,3.6,54.0,65.8,1,High,1,0,22.71,0
99,Male,Chennai,Tier1,Civil,Embedded,Yes,No,5.49,6.22,5.47,6.02,6.44,5.78,5.7,6.03,5.85,88.8,2,5,3.0,2,1,79.0,3.2,82.4,,0,Low,1,0,3.92,2
100,Male,Kochi,Tier1,Civil,DataScience,Yes,Yes,9.33,9.68,9.77,10.0,10.0,10.0,10.0,10.0,9.87,90.5,2,3,3.0,3,2,62.4,3.7,66.2,67.9,1,High,1,0,25.08,0
101,Male,Mumbai,Tier1,Mechanical,Embedded,No,No,9.56,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,94.8,1,3,3.0,3,1,84.4,3.7,76.7,75.7,1,High,1,0,25.03,0
102,Male,Ahmedabad,Tier3,IT,AI,Yes,No,8.25,8.6,8.47,8.27,8.74,8.59,8.81,8.4,8.61,65.4,1,1,2.0,2,0,77.9,,55.9,55.6,0,High,1,0,18.53,3
103,Female,Jaipur,Tier2,Mechanical,DataScience,Yes,No,9.98,10.0,9.8,10.0,9.61,10.0,10.0,10.0,9.96,78.8,2,4,3.0,4,2,91.8,2.7,82.9,80.6,1,High,1,0,18.69,0
104,Male,Pune,Tier2,Mechanical,Embedded,No,No,5.99,6.28,5.95,6.21,7.26,6.6,6.35,6.31,6.29,81.2,0,1,2.0,2,0,55.0,3.5,59.2,42.8,1,Low,0,0,0.0,3
105,Female,Hyderabad,Tier3,ECE,Embedded,Yes,Yes,4.0,4.0,4.0,4.23,4.0,4.0,4.0,4.0,4.19,62.7,0,2,,0,1,38.9,2.3,31.0,33.6,1,Low,0,0,0.0,1
106,Male,Hyderabad,Tier1,CS,DataScience,No,No,7.91,8.12,8.33,8.12,8.19,8.32,8.36,7.96,8.25,76.6,1,5,2.0,3,2,89.8,3.9,80.9,77.4,1,High,1,0,22.57,0
107,Male,Kolkata,Tier1,ECE,DataScience,No,No,7.07,7.47,7.13,7.56,6.89,7.36,7.3,7.21,7.36,81.3,1,2,,2,1,71.5,,48.9,67.8,1,Mid,1,0,8.45,3
108,Female,Hyderabad,Tier2,IT,AI,No,No,6.04,5.7,5.95,5.81,5.77,6.19,5.95,6.01,5.97,86.6,1,1,1.0,2,1,70.5,2.6,49.4,58.2,0,Low,1,0,5.91,3
109,Male,Hyderabad,Tier1,Mechanical,Networking,No,No,7.75,7.35,7.76,7.74,7.5,8.17,7.93,8.16,7.84,78.3,3,2,3.0,1,1,66.4,4.9,78.1,78.6,1,Mid,1,0,10.31,2
110,Male,Mumbai,Tier1,IT,AI,No,Yes,6.36,6.63,6.2,5.78,5.89,5.99,6.72,6.78,6.2,90.7,1,3,,3,1,95.7,4.8,55.9,73.6,1,Low,1,0,5.7,2
111,Male,Pune,Tier1,Mechanical,Embedded,No,No,9.38,9.9,9.63,9.86,9.85,10.0,9.9,10.0,9.77,92.4,0,2,2.0,3,1,83.5,5.0,71.6,75.9,1,High,1,0,25.42,0
112,Male,Delhi,Tier1,IT,DataScience,Yes,No,9.5,9.44,9.37,9.55,10.0,9.92,9.5,9.83,9.7,90.9,1,4,3.0,3,1,83.5,4.6,75.5,67.0,1,High,1,0,25.2,0
113,Female,Hyderabad,Tier2,CS,AI,Yes,No,7.79,7.65,7.65,7.34,7.18,7.49,7.36,7.23,7.35,63.6,0,1,1.0,0,0,46.1,2.2,32.1,31.2,0,Mid,0,0,0.0,3
114,Female,Hyderabad,Tier2,Civil,AI,Yes,No,5.89,5.62,5.46,5.73,5.17,5.18,4.91,5.61,5.53,62.6,0,1,1.0,0,0,,2.3,30.1,,0,Low,0,0,0.0,1
115,Male,Pune,Tier1,CS,DataScience,Yes,No,5.95,5.38,5.93,5.27,5.73,5.44,5.58,5.39,5.65,71.6,0,1,2.0,1,0,84.1,2.6,42.2,48.3,0,Low,0,0,0.0,1
116,Male,Ahmedabad,Tier2,Mechanical,Embedded,Yes,No,7.34,6.53,6.66,6.58,6.77,7.03,6.51,6.34,6.68,55.5,0,1,1.0,0,0,44.2,2.2,29.8,31.5,1,Mid,0,0,0.0,1
117,Male,Chennai,Tier3,CS,Networking,Yes,Yes,5.17,5.55,5.27,4.97,5.33,4.54,5.05,4.96,5.21,57.6,1,1,1.0,0,0,41.7,,,33.5,0,Low,0,0,0.0,1
118,Male,Delhi,Tier2,Civil,DataScience,No,Yes,9.82,10.0,10.0,9.78,10.0,10.0,10.0,10.0,9.84,93.9,3,4,2.0,3,1,79.8,5.0,83.4,66.3,1,High,1,0,25.98,0
119,Female,Chennai,Tier3,Mechanical,Networking,Yes,Yes,6.03,6.13,6.0,5.8,5.94,6.13,5.59,6.59,6.05,64.4,0,1,0.0,1,0,50.8,1.0,29.3,22.1,0,Low,0,0,0.0,1
120,Female,Delhi,Tier2,Mechanical,Embedded,No,No,8.39,8.93,8.71,7.94,8.49,8.59,8.83,8.35,8.61,62.8,1,2,2.0,1,1,71.6,3.0,43.9,54.7,1,High,1,0,18.71,3
121,Female,Pune,Tier3,Civil,Networking,Yes,No,5.52,4.36,4.96,4.8,4.42,4.8,4.92,4.8,5.02,65.2,1,0,0.0,0,1,43.6,2.7,31.7,29.4,0,Low,0,0,0.0,1
